46 53221
0 . 9081
1 a 4452
2 b 645
3 c 494
4 d 1964
5 e 4276
6 f 896
7 g 1319
8 h 966
9 i 2437
10 j 367
11 k 1394
12 l 2186
13 m 1463
14 n 3730
15 o 1686
16 p 769
17 q 12
18 r 3788
19 s 2873
20 t 3665
21 u 706
22 v 1001
23 w 19
24 x 28
25 y 274
26 z 16
27 å 714
28 ä 966
29 ö 594
30 , 118
31 3 17
32 4 10
33 1 37
34 - 119
35 2 33
36 0 39
37 9 7
38 7 12
39 8 12
40 6 13
41 5 16
42 é 4
43 ? 1
44 ! 1
45 ó 1
0 1 -2.794971483943394
0 6 -2.583061969963943
0 8 -2.730432962805823
0 4 -2.643140093907226
0 9 -2.740619808112816
0 19 -2.108150578436326
0 15 -3.305797107709385
0 20 -3.027164870777522
0 13 -2.674589226589730
0 14 -3.734042244149369
0 2 -3.124978180799965
0 28 -3.684593968735387
0 30 -4.369007469326578
0 12 -3.545595093928732
0 16 -3.189683800275296
0 7 -3.830735868951840
0 22 -2.998047472206794
0 21 -4.254127193328157
0 11 -3.367736407149675
0 31 -6.629032947901828
0 27 -5.019595035467727
0 18 -4.057693792341520
0 32 -7.168029448634515
0 0 -5.648203694890102
0 33 -6.022897144331512
0 5 -3.400206792180459
0 29 -5.329749963771567
0 3 -5.503021685045604
0 10 -4.603080091172979
0 35 -6.022897144331512
0 23 -7.322180128461773
0 17 -9.113939597689829
0 38 -7.322180128461773
0 39 -7.034498056009992
0 40 -7.727645236569938
0 26 -8.015327309021719
0 36 -8.420792417129883
0 41 -7.504501685255728
0 25 -8.420792417129883
0 43 -9.113939597689829
0 44 -9.113939597689829
0 37 -9.113939597689829
1 2 -5.223054882047490
1 0 -1.379132289323276
1 18 -1.734151919966229
1 13 -3.747148362237912
1 19 -3.452348822017267
1 4 -2.724354910127154
1 14 -1.870231084669550
1 20 -2.182508592703706
1 7 -3.049250578919369
1 12 -3.063570632694117
1 5 -5.182232887527235
1 22 -3.816141233724863
1 16 -4.550961110685376
1 9 -5.223054882047490
1 6 -4.904601150928955
1 11 -4.006659557722997
1 3 -5.310066259037120
1 15 -7.707961531835490
1 1 -7.014814351275545
1 10 -7.014814351275545
1 24 -7.302496423727326
1 8 -6.203884135059216
1 34 -6.609349243167380
1 21 -6.003213439597065
1 26 -7.302496423727326
1 25 -7.707961531835490
1 23 -7.707961531835490
2 3 -6.469250316795772
2 10 -3.636036972739556
2 12 -1.750751445500678
2 28 -3.333756100866623
2 18 -2.062531069531520
2 1 -2.264557697404806
2 27 -4.166665223801727
2 21 -4.166665223801727
2 15 -2.062531069531520
2 5 -1.640936579493471
2 29 -3.424727879072349
2 9 -2.885731378339663
2 2 -3.473518043241782
2 0 -3.904300959334236
2 34 -5.776103136235827
2 7 -6.469250316795772
2 25 -3.636036972739556
2 20 -5.370638028127662
2 4 -6.469250316795772
2 14 -6.469250316795772
2 6 -6.469250316795772
3 4 -6.202535517187923
3 8 -0.734475376052791
3 11 -0.987599759578937
3 9 -3.563478187572664
3 5 -4.410776047959867
3 20 -4.816241156068032
3 21 -4.256625368132609
3 1 -3.804640244389552
3 0 -3.563478187572664
3 15 -4.410776047959867
3 19 -4.816241156068032
3 18 -6.202535517187923
3 25 -5.509388336627977
3 17 -6.202535517187923
3 3 -6.202535517187923
3 42 -6.202535517187923
4 5 -0.752944751401986
4 29 -3.631494770332984
4 15 -3.575405303681940
4 19 -3.711537478006520
4 1 -1.823836715037131
4 0 -2.097941555423756
4 8 -5.280153395920365
4 12 -4.587006215360420
