12673 194251
0 lagen 107
1 säger 966
2 att 5553
3 man 187
4 inte 1467
5 får 492
6 ha 445
7 sex 104
8 med 1632
9 någon 163
10 som 2280
11 är 2961
12 hjälplös 1
13 . 18070
14 usas 161
15 polis 27
16 de 2954
17 fått 220
18 varningar 3
19 för 2285
20 terrorister 103
21 planerar 16
22 spränga 11
23 bomber 106
24 i 7461
25 norden 8
26 eller 200
27 baltiska 2
28 länderna 132
29 estland 13
30 lettland 34
31 och 3470
32 litauen 13
33 det 4161
34 var 1502
35 en 2522
36 kristen 1
37 tradition 2
38 sade 340
39 både 104
40 palestinska 95
41 israeliska 43
42 ledare 342
43 efter 370
44 ett 980
45 nytt 55
46 fredsmöte 2
47 på 2880
48 tisdagen 109
49 chock 1
50 många 1007
51 två 519
52 så 497
53 hemska 5
54 mord 42
55 kunde 111
56 hända 30
57 nästan 158
58 samtidigt 36
59 tusen 190
60 människor 856
61 tittade 4
62 när 503
63 tågade 2
64 in 184
65 nya 289
66 ullevi 3
67 fotbollstadion 1
68 lagarna 33
69 handlar 41
70 om 1206
71 viktiga 29
72 frågor 26
73 sidor 17
74 tt 34
75 den 1316
76 brittiska 22
77 regeringen 269
78 blir 445
79 folkomröstning 23
80 senare 32
81 juryn 3
82 domstolen 79
83 usa 517
84 natt 14
85 har 3365
86 nu 789
87 mer 266
88 än 412
89 hundra 124
90 soldater 330
91 området 53
92 nära 81
93 irak 498
94 kanske 126
95 allra 24
96 största 84
97 räddningsverkets 1
98 presschef 2
99 till 1509
100 tidningen 106
101 dagens 86
102 nyheter 84
103 varit 367
104 bra 380
105 ungern 26
106 kungens 5
107 medarbetare 6
108 kungen 39
109 alls 31
110 menade 7
111 han 1654
112 varken 9
113 träna 14
114 spela 131
115 matcher 71
116 jakten 7
117 rånarna 17
118 fortsätter 95
119 men 944
120 måndagsmorgonen 10
121 fortfarande 131
122 fria 37
123 cigarettröken 1
124 kan 722
125 också 535
126 skada 19
127 gäster 5
128 jobbar 31
129 plats 59
130 där 212
131 röker 6
132 sjuksköterskan 2
133 döms 31
134 villkorligt 2
135 fängelse 133
136 skulle 312
137 flyktingarna 4
138 vara 360
139 tills 22
140 euländerna 49
141 hade 509
142 bestämt 115
143 fick 376
144 komma 148
145 eu 220
146 stället 76
147 blivit 246
148 arton 9
149 miljoner 86
150 fler 323
151 svälter 7
152 världen 124
153 rika 10
154 länder 307
155 måste 277
156 ge 58
157 pengar 256
158 jordbruket 2
159 fattiga 39
160 faos 1
161 chefer 47
162 ungefär 73
163 femton 42
164 skidlöpare 1
165 årets 101
166 vasalopp 1
167 hans 138
168 parti 44
169 bjp 1
170 lyckats 30
171 indiens 6
172 ekonomi 16
173 mathias 23
174 fredriksson 27
175 visade 44
176 vad 186
177 facket 15
178 gick 148
179 höja 8
180 lönerna 14
181 år 687
182 dag 182
183 måndag 32
184 sju 70
185 medlemmar 44
186 försvarsorganisationen 2
187 nato 35
188 gjorde 218
189 av 1629
190 målen 19
191 vill 581
192 mijailo 67
193 mijailovic 105
194 ny 147
195 rättegång 43
196 egentligen 28
197 skadas 15
198 inga 55
199 datorer 14
200 sasser 3
201 poliser 71
202 skyddade 1
203 huset 38
204 festivalen 1
205 höll 36
206 svenska 412
207 försvaret 26
208 jobba 31
209 hårt 30
210 europeiska 65
211 unionen 45
212 skickat 33
213 grupp 110
214 kenya 15
215 första 268
216 gången 106
217 kung 10
218 spanien 56
219 demonstration 6
220 väg 50
221 paris 11
222 turister 15
223 haft 98
224 semester 10
225 egypten 18
226 herrlandslaget 9
227 förlorade 87
228 mot 784
229 norge 71
230 match 153
231 råsunda 8
232 utanför 81
233 stockholm 141
234 nej 86
235 krig 115
236 vapen 124
237 killen 3
238 använde 16
239 minst 89
240 dog 244
241 andas 13
242 trängseln 2
243 nyårsraketer 1
244 tände 5
245 eld 11
246 flera 554
247 hus 107
248 landet 323
249 brandkåren 6
250 lyckades 62
251 släcka 9
252 eldarna 1
253 svårt 158
254 ordförande 30
255 anklagad 7
256 domstol 42
257 dem 281
258 kommer 394
259 från 685
260 indien 23
261 tror 311
262 slutar 39
263 fotboll 81
264 fusk 16
265 jag 178
266 knappt 10
267 tro 13
268 sant 11
269 polisen 365
270 förut 55
271 arbetat 20
272 utbilda 4
273 afghanistan 24
274 belgien 11
275 greps 51
276 misstänkta 56
277 förra 199
278 veckan 109
279 demonstrerade 19
280 muslimska 20
281 kvinnor 94
282 ska 1200
283 få 512
284 bära 7
285 slöja 3
286 även 70
287 skolan 62
288 susanne 7
289 ljungskog 5
290 chanslös 2
291 lag 127
292 västerås 7
293 mötte 18
294 edsbyn 5
295 några 240
296 veckor 90
297 sedan 397
298 slog 46
299 ner 55
300 spelare 82
301 sin 240
302 klubba 1
303 fortsätta 86
304 resan 2
305 hem 97
306 sverige 901
307 igen 137
308 trots 24
309 militär 16
310 misstänkt 66
311 mordet 54
312 dömts 16
313 blev 611
314 kristdemokratiska 1
315 partiet 56
316 cdp 1
317 ingen 222
318 vinna 149
319 kidnapparna 43
320 kräver 46
321 släppa 28
322 alyosifi 1
323 självmordsbombare 17
324 datainspektionen 1
325 misstänks 24
326 hjälpt 14
327 råna 3
328 bank 8
329 stavanger 2
330 helgen 149
331 vägarna 18
332 hala 2
333 bilförarna 1
334 se 93
335 snön 5
336 vräkt 3
337 misstänkte 14
338 mannen 118
339 arbetade 19
340 tillsammans 41
341 högste 15
342 militärchefen 2
343 öb 6
344 saddam 100
345 hussein 84
346 ledde 35
347 shiamuslimerna 14
348 lite 76
349 makt 57
350 staden 160
351 bukavu 1
352 dödats 45
353 bråken 24
354 orkanen 8
355 ivan 7
356 förskräcklige 1
357 dragit 3
358 fram 88
359 över 355
360 öarna 6
361 västindien 5
362 senaste 144
363 dagarna 32
364 mycket 448
365 hemliga 17
366 papper 7
367 liggande 3
368 hemma 34
369 hos 28
370 sig 408
371 andra 492
372 ställen 26
373 ännu 193
374 klart 132
375 debatten 3
376 börjar 79
377 klockan 26
378 undersökningen 31
379 bara 257
380 gjorts 6
381 engelska 17
382 huvudspråk 1
383 spelarna 50
384 tar 62
385 ledigt 10
386 bandyn 1
387 höst 26
388 norrmannen 4
389 hofstad 1
390 alla 454
391 chanslösa 4
392 per 39
393 elofsson 11
394 satte 16
395 full 22
396 fart 12
397 målet 28
398 tävlingen 99
399 slutade 84
400 snopet 1
401 jordbävningen 30
402 algeriets 2
403 huvudstad 42
404 alger 3
405 värsta 13
406 utrikesdepartementet 8
407 råder 1
408 svenskarna 124
409 resa 17
410 hongkong 14
411 vissa 14
412 områden 44
413 kina 61
414 vietnam 4
415 slalomstjärnan 1
416 anja 86
417 pärson 45
418 toppform 11
419 vann 581
420 sina 262
421 partiledarna 1
422 överens 84
423 göran 81
424 persson 95
425 särskild 9
426 undersöka 56
427 hänt 45
428 hela 181
429 fnhuset 5
430 rasar 5
431 ihop 12
432 ohly 17
433 vice 7
434 partiledare 13
435 vilket 24
436 land 119
437 tycker 285
438 du 8
439 vunnit 75
440 afrika 40
441 smittade 14
442 hiv 12
443 evin 5
444 rubar 5
445 ställde 10
446 fall 23
447 kvinnohus 1
448 gömt 11
449 unga 42
450 deras 80
451 vilja 12
452 sitta 37
453 extra 32
454 stiftelsen 6
455 dela 12
456 ut 247
457 lägenheterna 7
458 tjänar 21
459 behöver 48
460 någonstans 5
461 bo 19
462 påven 27
463 gammal 27
464 lider 3
465 sjukdomar 14
466 bulgarien 24
467 kroatien 29
468 svåra 32
469 motståndare 26
470 året 129
471 vms 2
472 elit 3
473 elitserien 19
474 speedway 2
475 tågen 13
476 stod 27
477 stilla 6
478 då 245
479 flaggor 3
480 halv 31
481 stång 3
482 folk 149
483 norrland 5
484 kör 13
485 bil 54
486 betala 51
487 bensinskatten 3
488 höjs 8
489 assyriska 14
490 vinner 76
491 går 169
492 laget 191
493 upp 124
494 allsvenskan 39
495 syrorna 2
496 fräter 1
497 bort 95
498 ytan 1
499 tanden 1
500 samlat 6
