Lagen, NN, 
säger, VB, 
att, SN, 
man, PN, 
inte, AB, 
får, VB, 
ha, VB, 
sex, RG, 
med, PP, 
någon, PN, 
som, HP, 
är, VB, 
hjälplös, JJ, 
., MAD, 
USAs, PM, 
polis, NN, 
säger, VB, 
att, SN, 
de, PN, 
fått, VB, 
varningar, NN, 
för, PP, 
att, SN, 
terrorister, NN, 
planerar, VB, 
att, IE, 
spränga, VB, 
bomber, NN, 
i, PP, 
norden, NN, 
eller, KN, 
i, PP, 
de, DT, 
baltiska, JJ, 
länderna, NN, 
,, MID, 
Estland, PM, 
,, MID, 
Lettland, PM, 
och, KN, 
Litauen, PM, 
., MAD, 
Det, PN, 
var, VB, 
en, DT, 
kristen, JJ, 
tradition, NN, 
., MAD, 
Det, PN, 
sade, VB, 
både, KN, 
palestinska, JJ, 
och, KN, 
israeliska, JJ, 
ledare, NN, 
efter, PP, 
ett, DT, 
nytt, JJ, 
fredsmöte, NN, 
på, PP, 
tisdagen, NN, 
., MAD, 
Det, PN, 
var, VB, 
en, DT, 
chock, NN, 
för, PP, 
många, PN, 
att, SN, 
två, RG, 
så, AB, 
hemska, JJ, 
mord, NN, 
kunde, VB, 
hända, VB, 
nästan, AB, 
samtidigt, AB, 
., MAD, 
45, RG, 
tusen, RG, 
människor, NN, 
tittade, VB, 
på, PP, 
när, HA, 
lagen, NN, 
tågade, VB, 
in, PL, 
på, PP, 
Nya, JJ, 
Ullevi, PM, 
fotbollstadion, NN, 
., MAD, 
Lagarna, NN, 
handlar, VB, 
om, PP, 
många, JJ, 
viktiga, JJ, 
frågor, NN, 
., MAD, 
8, RG, 
SIDOR, NN, 
/, MID, 
TT, PM, 
Den, DT, 
brittiska, JJ, 
regeringen, NN, 
säger, VB, 
att, SN, 
det, PN, 
blir, VB, 
en, DT, 
folkomröstning, NN, 
senare, AB, 
., MAD, 
Det, PN, 
sade, VB, 
juryn, NN, 
i, PP, 
domstolen, NN, 
i, PP, 
USA, PM, 
i, PP, 
natt, NN, 
., MAD, 
USA, PM, 
har, VB, 
nu, AB, 
mer, AB, 
än, KN, 
hundra, RG, 
tusen, RG, 
soldater, NN, 
i, PP, 
området, NN, 
nära, PP, 
Irak, PM, 
., MAD, 
Kanske, AB, 
den, DT, 
allra, AB, 
största, JJ, 
., MAD, 
Det, PN, 
säger, VB, 
Räddningsverkets, NN, 
presschef, NN, 
till, PP, 
tidningen, NN, 
Dagens, NN, 
Nyheter, PM, 
., MAD, 
Det, PN, 
har, VB, 
varit, VB, 
bra, JJ, 
för, PP, 
Ungern, PM, 
., MAD, 
Kungens, NN, 
medarbetare, NN, 
säger, VB, 
att, SN, 
kungen, NN, 
inte, AB, 
alls, AB, 
menade, VB, 
så, AB, 
., MAD, 
Han, PN, 
får, VB, 
varken, KN, 
träna, VB, 
eller, KN, 
spela, VB, 
matcher, NN, 
., MAD, 
Jakten, NN, 
på, PP, 
rånarna, NN, 
fortsätter, VB, 
men, KN, 
på, PP, 
måndagsmorgonen, NN, 
var, VB, 
de, PN, 
fortfarande, AB, 
fria, JJ, 
., MAD, 
Cigarett-röken, NN, 
kan, VB, 
också, AB, 
skada, VB, 
gäster, NN, 
och, KN, 
de, PN, 
som, HP, 
jobbar, VB, 
på, PP, 
en, DT, 
plats, NN, 
där, HA, 
många, PN, 
röker, VB, 
., MAD, 
Sjuksköterskan, NN, 
döms, VB, 
fortfarande, AB, 
villkorligt, AB, 
till, PP, 
fängelse, NN, 
., MAD, 
Där, AB, 
skulle, VB, 
flyktingarna, NN, 
vara, VB, 
tills, SN, 
EU-länderna, NN, 
hade, VB, 
bestämt, VB, 
om, SN, 
de, PN, 
fick, VB, 
komma, VB, 
in, PL, 
i, PP, 
EU, PM, 
eller, KN, 
inte, AB, 
., MAD, 
I, PP, 
stället, NN, 
har, VB, 
det, PN, 
blivit, VB, 
arton, RG, 
miljoner, NN, 
fler, JJ, 
människor, NN, 
som, HP, 
svälter, VB, 
i, PP, 
världen, NN, 
Rika, JJ, 
länder, NN, 
måste, VB, 
ge, VB, 
mer, JJ, 
pengar, NN, 
till, PP, 
jordbruket, NN, 
i, PP, 
de, DT, 
fattiga, JJ, 
länderna, NN, 
,, MID, 
säger, VB, 
FAOs, PM, 
chefer, NN, 
., MAD, 
Ungefär, AB, 
femton, RG, 
tusen, RG, 
skidlöpare, NN, 
var, VB, 
med, PL, 
i, PP, 
årets, NN, 
Vasalopp, NN, 
., MAD, 
Hans, PS, 
parti, NN, 
BJP, PM, 
har, VB, 
lyckats, VB, 
bra, AB, 
med, PP, 
Indiens, PM, 
ekonomi, NN, 
., MAD, 
Men, KN, 
Mathias, PM, 
Fredriksson, PM, 
visade, VB, 
vad, HP, 
han, PN, 
kan, VB, 
., MAD, 
Facket, NN, 
gick, VB, 
med, PL, 
på, PP, 
att, IE, 
inte, AB, 
höja, VB, 
lönerna, NN, 
i, PP, 
år, NN, 
., MAD, 
I, PP, 
dag, NN, 
,, MID, 
måndag, NN, 
,, MID, 
blir, VB, 
sju, RG, 
länder, NN, 
nya, JJ, 
medlemmar, NN, 
i, PP, 
försvars-organisationen, NN, 
Nato, PM, 
., MAD, 
Han, PN, 
gjorde, VB, 
två, RG, 
av, PP, 
målen, NN, 
., MAD, 
Nu, AB, 
vill, VB, 
Mijailo, PM, 
Mijailovic, PM, 
ha, VB, 
en, DT, 
ny, JJ, 
rättegång, NN, 
., MAD, 
Egentligen, AB, 
skadas, VB, 
inga, DT, 
datorer, NN, 
av, PP, 
Sasser, PM, 
., MAD, 
Många, JJ, 
poliser, NN, 
skyddade, VB, 
huset, NN, 
där, HA, 
festivalen, NN, 
höll, VB, 
på, PL, 
., MAD, 
det, DT, 
svenska, JJ, 
försvaret, NN, 
fick, VB, 
jobba, VB, 
hårt, AB, 
., MAD, 
Europeiska, JJ, 
Unionen, NN, 
,, MID, 
EU, PM, 
,, MID, 
har, VB, 
skickat, VB, 
en, DT, 
grupp, NN, 
till, PP, 
Kenya, PM, 
., MAD, 
Det, PN, 
är, VB, 
första, RO, 
gången, NN, 
som, HP, 
en, DT, 
kung, NN, 
i, PP, 
Spanien, PM, 
är, VB, 
med, PL, 
i, PP, 
en, DT, 
demonstration, NN, 
., MAD, 
Det, PN, 
var, VB, 
på, PP, 
väg, NN, 
till, PP, 
Paris, PM, 
med, PP, 
turister, NN, 
som, HP, 
hade, VB, 
haft, VB, 
semester, NN, 
i, PP, 
Egypten, PM, 
., MAD, 
Herrlandslaget, NN, 
förlorade, VB, 
mot, PP, 
Norge, PM, 
i, PP, 
en, DT, 
match, NN, 
på, PP, 
Råsunda, PM, 
utanför, PP, 
Stockholm, PM, 
., MAD, 
Nej, IN, 
till, PP, 
krig, NN, 
mot, PP, 
Irak, PM, 
., MAD, 
Kanske, AB, 
var, VB, 
det, PN, 
hans, PS, 
vapen, NN, 
som, HP, 
killen, NN, 
använde, VB, 
., MAD, 
Minst, AB, 
150, RG, 
människor, NN, 
dog, VB, 
för, PP, 
att, SN, 
de, PN, 
inte, AB, 
kunde, VB, 
andas, VB, 
i, PP, 
trängseln, NN, 
., MAD, 
Nyårsraketer, NN, 
tände, VB, 
också, AB, 
eld, NN, 
på, PP, 
flera, JJ, 
hus, NN, 
i, PP, 
landet, NN, 
men, KN, 
brandkåren, NN, 
lyckades, VB, 
släcka, VB, 
eldarna, NN, 
., MAD, 
Det, PN, 
är, VB, 
svårt, JJ, 
att, IE, 
ha, VB, 
en, DT, 
ordförande, NN, 
i, PP, 
EU, PM, 
som, HP, 
är, VB, 
anklagad, PC, 
i, PP, 
en, DT, 
domstol, NN, 
., MAD, 
Två, RG, 
av, PP, 
dem, PN, 
kommer, VB, 
från, PP, 
Indien, PM, 
., MAD, 
De, PN, 
tror, VB, 
att, SN, 
han, PN, 
kanske, AB, 
slutar, VB, 
spela, VB, 
fotboll, NN, 
nu, AB, 
., MAD, 
Det, PN, 
är, VB, 
fusk, NN, 
., MAD, 
–, MID, 
Jag, PN, 
kan, VB, 
knappt, AB, 
tro, VB, 
att, SN, 
det, PN, 
är, VB, 
sant, JJ, 
., MAD, 
Polisen, NN, 
säger, VB, 
att, SN, 
han, PN, 
förut, AB, 
har, VB, 
arbetat, VB, 
med, PP, 
att, IE, 
utbilda, VB, 
terrorister, NN, 
i, PP, 
landet, NN, 
Afghanistan, PM, 
I, PP, 
Belgien, PM, 
greps, VB, 
15, RG, 
misstänkta, PC, 
terrorister, NN, 
., MAD, 
I, PP, 
förra, JJ, 
veckan, NN, 
demonstrerade, VB, 
muslimska, JJ, 
kvinnor, NN, 
i, PP, 
flera, JJ, 
länder, NN, 
för, PP, 
att, SN, 
kvinnor, NN, 
ska, VB, 
få, VB, 
bära, VB, 
slöja, NN, 
även, AB, 
i, PP, 
skolan, NN, 
., MAD, 
Men, KN, 
Susanne, PM, 
Ljungskog, PM, 
var, VB, 
chanslös, JJ, 
., MAD, 
När, HA, 
hans, PS, 
lag, NN, 
Västerås, PM, 
mötte, VB, 
Edsbyn, PM, 
för, PP, 
några, DT, 
veckor, NN, 
sedan, AB, 
slog, VB, 
han, PN, 
ner, PL, 
två, RG, 
spelare, NN, 
med, PP, 
sin, PS, 
klubba, NN, 
., MAD, 
De, PN, 
kunde, VB, 
sedan, AB, 
fortsätta, VB, 
resan, NN, 
hem, AB, 
till, PP, 
Sverige, PM, 
igen, AB, 
., MAD, 
Trots, PP, 
att, SN, 
en, DT, 
militär, NN, 
är, VB, 
misstänkt, PC, 
för, PP, 
mordet, NN, 
har, VB, 
han, PN, 
inte, AB, 
dömts, VB, 
., MAD, 
Han, PN, 
blev, VB, 
ledare, NN, 
för, PP, 
det, DT, 
kristdemokratiska, JJ, 
partiet, NN, 
,, MID, 
CDP, PM, 
,, MID, 
i, PP, 
Irak, PM, 
., MAD, 
Ingen, PN, 
tror, VB, 
att, SN, 
han, PN, 
ska, VB, 
vinna, VB, 
., MAD, 
Kidnapparna, NN, 
kräver, VB, 
pengar, NN, 
för, PP, 
att, SN, 
de, PN, 
ska, VB, 
släppa, VB, 
al-Yosifi, PM, 
., MAD, 
Men, KN, 
polisen, NN, 
tror, VB, 
att, SN, 
det, PN, 
var, VB, 
en, DT, 
självmordsbombare, NN, 
., MAD, 
Det, PN, 
säger, VB, 
Datainspektionen, NN, 
., MAD, 
De, PN, 
misstänks, VB, 
ha, VB, 
hjälpt, VB, 
till, PL, 
att, IE, 
råna, VB, 
en, DT, 
bank, NN, 
i, PP, 
Stavanger, PM, 
i, PP, 
Norge, PM, 
i, PP, 
helgen, NN, 
., MAD, 
Vägarna, NN, 
har, VB, 
varit, VB, 
hala, JJ, 
och, KN, 
bilförarna, NN, 
har, VB, 
haft, VB, 
svårt, AB, 
att, IE, 
se, VB, 
när, HA, 
snön, NN, 
har, VB, 
vräkt, VB, 
ner, PL, 
., MAD, 
Den, DT, 
misstänkte, PC, 
mannen, NN, 
arbetade, VB, 
förut, AB, 
tillsammans, AB, 
med, PP, 
den, DT, 
högste, JJ, 
militärchefen, NN, 
i, PP, 
Sverige, PM, 
,, MID, 
ÖB, PM, 
., MAD, 
När, HA, 
Saddam, PM, 
Hussein, PM, 
ledde, VB, 
Irak, PM, 
hade, VB, 
shia-muslimerna, NN, 
lite, AB, 
makt, NN, 
., MAD, 
I, PP, 
staden, NN, 
Bukavu, PM, 
har, VB, 
många, JJ, 
människor, NN, 
dödats, VB, 
i, PP, 
bråken, NN, 
., MAD, 
Orkanen, NN, 
Ivan, PM, 
den, DT, 
förskräcklige, JJ, 
har, VB, 
dragit, VB, 
fram, PL, 
över, PP, 
öarna, NN, 
i, PP, 
Västindien, PM, 
de, DT, 
senaste, JJ, 
dagarna, NN, 
., MAD, 
Han, PN, 
har, VB, 
haft, VB, 
mycket, AB, 
hemliga, JJ, 
papper, NN, 
liggande, PC, 
hemma, AB, 
hos, PP, 
sig, PN, 
och, KN, 
på, PP, 
flera, JJ, 
andra, JJ, 
ställen, NN, 
., MAD, 
Men, KN, 
ännu, AB, 
är, VB, 
det, PN, 
inte, AB, 
klart, JJ, 
att, SN, 
det, PN, 
blir, VB, 
så, AB, 
., MAD, 
Debatten, NN, 
börjar, VB, 
klockan, NN, 
20.00, RG, 
., MAD, 
Undersökningen, NN, 
har, VB, 
bara, AB, 
gjorts, VB, 
i, PP, 
länder, NN, 
som, HP, 
inte, AB, 
har, VB, 
engelska, NN, 
som, KN, 
huvudspråk, NN, 
., MAD, 
Spelarna, NN, 
tar, VB, 
ledigt, AB, 
från, PP, 
bandyn, NN, 
fram, AB, 
till, PP, 
i, PP, 
höst, NN, 
., MAD, 
Norrmannen, NN, 
Hofstad, PM, 
och, KN, 
alla, DT, 
andra, PN, 
var, VB, 
chanslösa, JJ, 
när, HA, 
Per, PM, 
Elofsson, PM, 
satte, VB, 
full, JJ, 
fart, NN, 
in, AB, 
mot, PP, 
målet, NN, 
., MAD, 
Men, KN, 
tävlingen, NN, 
slutade, VB, 
snopet, AB, 
., MAD, 
Jordbävningen, NN, 
utanför, PP, 
Algeriets, NN, 
huvudstad, NN, 
Alger, PM, 
var, VB, 
en, PN, 
av, PP, 
de, DT, 
värsta, JJ, 
på, PP, 
många, JJ, 
år, NN, 
., MAD, 
Svenska, JJ, 
utrikesdepartementet, NN, 
råder, VB, 
svenskarna, NN, 
att, IE, 
inte, AB, 
resa, VB, 
till, PP, 
Hongkong, PM, 
och, KN, 
vissa, JJ, 
områden, NN, 
i, PP, 
Kina, PM, 
och, KN, 
Vietnam, PM, 
., MAD, 
Slalomstjärnan, NN, 
Anja, PM, 
Pärson, PM, 
är, VB, 
i, PP, 
toppform, NN, 
., MAD, 
Ingen, PN, 
av, PP, 
de, DT, 
andra, JJ, 
svenska, JJ, 
lagen, NN, 
vann, VB, 
sina, PS, 
matcher, NN, 
., MAD, 
Men, KN, 
partiledarna, NN, 
blev, VB, 
sedan, AB, 
överens, PL, 
med, PP, 
Göran, PM, 
Persson, PM, 
om, PP, 
att, SN, 
en, DT, 
särskild, PC, 
grupp, NN, 
ska, VB, 
undersöka, VB, 
vad, HP, 
som, HP, 
har, VB, 
hänt, VB, 
., MAD, 
Nästan, AB, 
hela, JJ, 
FN-huset, NN, 
rasar, VB, 
ihop, PL, 
., MAD, 
Ohly, PM, 
har, VB, 
varit, VB, 
vice, JJ, 
partiledare, NN, 
i, PP, 
flera, JJ, 
år, NN, 
., MAD, 
Vilket, HD, 
land, NN, 
tycker, VB, 
du, PN, 
skulle, VB, 
ha, VB, 
vunnit, VB, 
?, MAD, 
Fler, JJ, 
än, KN, 
25, RG, 
miljoner, NN, 
människor, NN, 
i, PP, 
Afrika, PM, 
är, VB, 
smittade, PC, 
med, PP, 
hiv, NN, 
., MAD, 
Evin, PM, 
Rubar, PM, 
ställde, VB, 
frågor, NN, 
om, PP, 
ett, DT, 
fall, NN, 
där, HA, 
en, DT, 
grupp, NN, 
från, PP, 
ett, DT, 
kvinnohus, NN, 
skulle, VB, 
ha, VB, 
gömt, VB, 
två, RG, 
unga, JJ, 
kvinnor, NN, 
mot, PP, 
deras, PS, 
vilja, NN, 
., MAD, 
De, PN, 
ska, VB, 
sitta, VB, 
ett, DT, 
år, NN, 
extra, AB, 
i, PP, 
fängelse, NN, 
., MAD, 
Stiftelsen, NN, 
ska, VB, 
dela, VB, 
ut, PL, 
lägenheterna, NN, 
till, PP, 
kvinnor, NN, 
som, HP, 
tjänar, VB, 
lite, AB, 
pengar, NN, 
och, KN, 
som, HP, 
behöver, VB, 
någonstans, AB, 
att, IE, 
bo, VB, 
., MAD, 
Påven, NN, 
är, VB, 
84, RG, 
år, NN, 
gammal, JJ, 
och, KN, 
lider, VB, 
av, PP, 
flera, JJ, 
sjukdomar, NN, 
., MAD, 
Bulgarien, PM, 
,, MID, 
Kroatien, PM, 
och, KN, 
Ungern, PM, 
är, VB, 
svåra, JJ, 
motståndare, NN, 
., MAD, 
Förra, JJ, 
året, NN, 
var, VB, 
VMS, PM, 
Elit, PM, 
nya, JJ, 
i, PP, 
elitserien, NN, 
i, PP, 
speedway, NN, 
., MAD, 
De, PN, 
kunde, VB, 
inte, AB, 
komma, VB, 
hem, PL, 
när, HA, 
tågen, NN, 
stod, VB, 
stilla, AB, 
., MAD, 
Då, AB, 
ska, VB, 
alla, DT, 
flaggor, NN, 
i, PP, 
Sverige, PM, 
vara, VB, 
på, PP, 
halv, JJ, 
stång, NN, 
., MAD, 
Folk, NN, 
i, PP, 
Norrland, PM, 
kör, VB, 
mycket, JJ, 
bil, NN, 
och, KN, 
får, VB, 
betala, VB, 
mycket, AB, 
mer, AB, 
när, HA, 
bensinskatten, NN, 
höjs, VB, 
., MAD, 
Om, SN, 
Assyriska, JJ, 
vinner, VB, 
då, AB, 
går, VB, 
laget, NN, 
upp, PL, 
i, PP, 
allsvenskan, NN, 
., MAD, 
Syrorna, NN, 
fräter, VB, 
bort, PL, 
ytan, NN, 
på, PP, 
tanden, NN, 
., MAD, 
Bara, AB, 
i, PP, 
Sverige, PM, 
har, VB, 
de, PN, 
samlat, VB, 
in, PL, 
nästan, AB, 
800, RG, 
miljoner, NN, 
kronor, NN, 
., MAD, 
Det, PN, 
är, VB, 
stor, JJ, 
skillnad, NN, 
mellan, PP, 
fattiga, JJ, 
och, KN, 
rika, JJ, 
i, PP, 
landet, NN, 
., MAD, 
Striden, NN, 
om, PP, 
Iraks, PM, 
huvudstad, NN, 
Bagdad, PM, 
har, VB, 
börjat, VB, 
I, PP, 
natt, NN, 
var, VB, 
det, PN, 
hårda, JJ, 
strider, NN, 
på, PP, 
Bagdads, PM, 
flygplats, NN, 
., MAD, 
Det, DT, 
höga, JJ, 
bensinpriset, NN, 
beror, VB, 
bland, PP, 
annat, PN, 
på, PP, 
att, SN, 
många, JJ, 
människor, NN, 
tror, VB, 
att, SN, 
det, PN, 
kan, VB, 
bli, VB, 
brist, NN, 
på, PP, 
olja, NN, 
och, KN, 
att, SN, 
USA, PM, 
har, VB, 
ovanligt, AB, 
lite, AB, 
bensin, NN, 
i, PP, 
sina, PS, 
lager, NN, 
., MAD, 
Amerikanska, JJ, 
fångvaktare, NN, 
och, KN, 
soldater, NN, 
har, VB, 
varit, VB, 
fruktansvärt, AB, 
grymma, JJ, 
., MAD, 
På, PP, 
onsdagen, NN, 
dog, VB, 
nästan, AB, 
80, RG, 
människor, NN, 
i, PP, 
Irak, PM, 
., MAD, 
Men, KN, 
det, PN, 
finns, VB, 
folk, NN, 
som, HP, 
motarbetar, VB, 
att, SN, 
homosexuella, JJ, 
människor, NN, 
får, VB, 
samma, DT, 
rättigheter, NN, 
som, KN, 
andra, PN, 
., MAD, 
Vissa, JJ, 
personer, NN, 
blir, VB, 
väldigt, AB, 
arga, JJ, 
när, HA, 
de, PN, 
äter, VB, 
Rohypnol, PM, 
., MAD, 
Restaurangen, NN, 
hade, VB, 
just, AB, 
stängt, VB, 
., MAD, 
Tio, RG, 
personer, NN, 
dog, VB, 
., MAD, 
På, PP, 
onsdagen, NN, 
skulle, VB, 
Europeiska, JJ, 
Unionen, NN, 
,, MID, 
EU, PM, 
,, MID, 
ha, VB, 
fått, VB, 
en, DT, 
ny, JJ, 
regering, NN, 
., MAD, 
Israel, PM, 
har, VB, 
tagit, VB, 
makten, NN, 
i, PP, 
flera, PN, 
av, PP, 
palestiniernas, NN, 
områden, NN, 
., MAD, 
Danmark, PM, 
är, VB, 
den, DT, 
svåraste, JJ, 
motståndaren, NN, 
i, PP, 
Sveriges, PM, 
EM-grupp, NN, 
., MAD, 
Nu, AB, 
är, VB, 
det, PN, 
mycket, AB, 
osäkert, JJ, 
om, SN, 
det, PN, 
kan, VB, 
bli, VB, 
av, PL, 
., MAD, 
Fjorton, RG, 
blev, VB, 
skadade, PC, 
., MAD, 
Han, PN, 
vann, VB, 
tolv, RG, 
segrar, NN, 
i, PP, 
ATP-tävlingar, NN, 
., MAD, 
På, PP, 
onsdagen, NN, 
dömdes, VB, 
han, PN, 
till, PP, 
femton, RG, 
års, NN, 
fängelse, NN, 
., MAD, 
Anja, PM, 
Pärson, PM, 
leder, VB, 
med, PP, 
åtta, RG, 
poäng, NN, 
före, PP, 
Janica, PM, 
Kostelic, PM, 
från, PP, 
Kroatien, PM, 
., MAD, 
Haitis, PM, 
president, NN, 
Aristide, PM, 
flydde, VB, 
i, PP, 
helgen, NN, 
från, PP, 
Haiti, PM, 
., MAD, 
Den, DT, 
belgiska, JJ, 
polisen, NN, 
säger, VB, 
att, SN, 
de, DT, 
misstänkta, PC, 
planerade, VB, 
en, DT, 
bombattack, NN, 
., MAD, 
Emma, PM, 
Igelström, PM, 
kan, VB, 
inte, AB, 
tänka, VB, 
på, PP, 
att, IE, 
vinna, VB, 
i, PP, 
simtävlingar, NN, 
., MAD, 
Rebeller, NN, 
i, PP, 
Darfur, PM, 
krigar, VB, 
mot, PP, 
Sudans, PM, 
militär, NN, 
och, KN, 
en, DT, 
militär, JJ, 
grupp, NN, 
som, HP, 
kallas, VB, 
janjawid, NN, 
., MAD, 
FN-soldaterna, NN, 
har, VB, 
anklagats, VB, 
för, PP, 
att, IE, 
vara, VB, 
fega, JJ, 
., MAD, 
Branden, NN, 
var, VB, 
mycket, AB, 
kraftig, JJ, 
och, KN, 
hela, JJ, 
stationen, NN, 
fylldes, VB, 
av, PP, 
rök, NN, 
